Headline,Description,Date,Link
Five moves Walmart is making to overhaul its business for the future,"Walmart, the global mega-retailer that began in Arkansas in 1962, is making huge moves in 2024. It’s making investments in technology and inventory that move it into new businesses and which will alter the Walmart experience of many customers.","Feb 19, 2024",https://www.cnn.com/2024/02/19/business/walmart-earnings-walkup/index.html
Delta paying $1.4 billion in profit sharing payments to employees,"Delta Air Lines is paying out $1.4 billion in profit sharing, more than double what it paid employees a year ago.","Feb 15, 2024",https://www.cnn.com/2024/02/14/business/delta-profit-sharing/index.html
How empty office space became the new bogeyman on Wall Street,Remote work can be amazing for employees. Less time in stuffy offices and commuting on crowded highways means more time and energy for everything else in life.,"Feb 09, 2024",https://www.cnn.com/2024/02/09/business/commercial-real-estate-banks/index.html
Boeing supplier swings to profit despite recent problems,"Spirit AeroSystems, the troubled Boeing supplier which builds fuselages and other parts for the company, reported its first adjusted quarterly profit since the start of 2022, helped by increased payments from Boeing.","Feb 06, 2024",https://www.cnn.com/2024/02/06/business/boeing-supplier-spirit-aerosystems-earnings/index.html
47 Black-owned businesses to support,"From a brand that makes paint shopping easy to streetwear for dogs to fashionable swimwear, these are our favorite Black-owned businesses you should shop now.","Feb 02, 2024",https://www.cnn.com/cnn-underscored/home/black-owned-businesses-to-support
Amazon launches AI shopping assistant as holiday shoppers boost revenue,"Holiday shoppers powered strong revenue growth for Amazon last quarter, the company said Thursday, the same day it launched a new AI shopping assistant.","Feb 02, 2024",https://www.cnn.com/2024/02/01/tech/amazon-q4-earnings/index.html
Companies are hopeful about the economy again — even if they’re nervous,"Earnings season is in full swing, and that means investors get a chance to hear from multinational companies about the state of the global economy.","Feb 01, 2024",https://www.cnn.com/2024/02/01/investing/premarket-stocks-trading-earnings-consumer/index.html
Walmart’s stock is about to appear a whole lot cheaper,Have your eye on Walmart stock? You may be able to seemingly save money and maybe live better too in the coming weeks.,"Jan 31, 2024",https://www.cnn.com/2024/01/30/investing/walmarts-stock-split/index.html
"News industry off to brutal 2024 start as mass layoffs devastate publishers, raising questions about the future of journalism","The news industry is enduring a brutal start to the new year, with outlets large and small across the country hemorrhaging reporting staff as legacy business models that kept much of the industry afloat for decades collapse in plain sight.","Jan 26, 2024",https://www.cnn.com/2024/01/25/media/news-industry-future/index.html
"Business Insider cuts 8% of staff, becoming latest news outlet to undergo layoffs","Business Insider said Thursday that it will cut 8% of its staff, becoming the latest news organization to undergo a round of painful layoffs as news companies struggle to stay afoot amid brutal industry headwinds.","Jan 25, 2024",https://www.cnn.com/2024/01/25/media/business-insider-layoffs/index.html
Macy’s is laying off workers and closing five stores,"Macy’s is laying off about 3.5% of its workforce, or roughly 2,350 employees, and closing five stores as it continues to shrink its massive retail business for the online shopping era.","Jan 19, 2024",https://www.cnn.com/2024/01/18/business/macys-is-laying-off-corporate-workers-and-closing-five-stores/index.html
Why Wall Street should worry about retail,Investors are eagerly anticipating Wednesday’s retail sales report.,"Jan 17, 2024",https://www.cnn.com/2024/01/17/investing/premarket-stocks-trading/index.html
The biggest risks US businesses face in 2024,America’s businesses are beginning the year cautiously optimistic.,"Jan 14, 2024",https://www.cnn.com/2024/01/14/economy/stocks-week-ahead-top-business-risks-2024/index.html
Five-foot Toy Story 3 bear draws the crowds at Costco’s first store in ‘China’s Silicon Valley’,"More than four years after Costco’s first store in the country caused a stir, shoppers in the southern metropolis of Shenzhen this week flocked to the US retailer’s latest outlet on Chinese shores.","Jan 14, 2024",https://www.cnn.com/2024/01/13/china/toy-story-3-costco-shenzhen-china-intl-hnk/index.html
Move over Apple: Microsoft is now the most valuable publicly traded company,There’s a new sheriff in town.,"Jan 13, 2024",https://www.cnn.com/2024/01/12/business/apple-microsoft-most-valuable-publicly-traded-company/index.html
"BlackRock cuts 3% of global staff, citing industry changes","BlackRock, the world’s largest asset manager, will lay off about 600 employees as it seeks to reshuffle its resources in response to technological changes in the financial industry.","Jan 10, 2024",https://www.cnn.com/2024/01/09/investing/blackrock-cuts-600-jobs/index.html
Saudi media group MBC worth nearly $3 billion after hot market debut,"Shares in Saudi Arabia’s MBC Group, one of the Middle East’s biggest media companies, soared 30% on their market debut Monday.","Jan 08, 2024",https://www.cnn.com/2024/01/08/media/saudi-mbc-ipo-shares-soar/index.html
‘Disheartening and ill-founded:’ McDonald’s CEO responds to Middle East backlash,"McDonald’s admitted that it’s experiencing “meaningful business impact” in the Middle East because of the war between Israel and Hamas, joining Starbucks in issuing public statements trying to squash misconceptions and boycotts affecting ...","Jan 05, 2024",https://www.cnn.com/2024/01/05/food/mcdonalds-middle-east-business-war/index.html
What happens to small businesses when big retailers shut down?,"Destination retailers able to reliably attract customers, like movie theaters, sports centers and grocery stores, often help smaller businesses in their orbit.","Dec 31, 2023",https://www.cnn.com/2023/12/30/business/small-businesses-big-retailers-impact/index.html
Here are 7 of the well-known companies that went bankrupt in 2023,"It’s been a rough year for some household-name US retailers and businesses. As the economy emerged out of the Covid-19 pandemic, companies faced a laundry list of problems arising from high costs, supply shortages and growing competition.","Dec 27, 2023",https://www.cnn.com/2023/12/25/business/here-are-the-companies-that-went-bankrupt-in-2023/index.html
Scooter sharing company Bird files for bankruptcy,"Bird, a company that operates scooter and bicycling sharing operations in TK cities in the United States filed for bankruptcy Wednesday.","Dec 21, 2023",https://www.cnn.com/2023/12/20/business/scooter-sharing-company-bird-files-for-bankruptcy/index.html
A major trend holding back Wall Street could reverse itself in 2024,Dealmaking is the bread and butter of Wall Street – but by some accounts this has been the worst year for mergers and acquisitions in about a decade. Initial public offerings have also suffered.,"Dec 20, 2023",https://www.cnn.com/2023/12/20/investing/premarket-stocks-trading/index.html
Empty office buildings may meet the same fate as zombie shopping malls,"It’s been about four years since the Covid-19 pandemic upended society, also killing the once-ubiquitous reality of working in an office for eight hours, five days a week. Many companies have embraced remote work, which has meant weak demand for ...","Dec 18, 2023",https://www.cnn.com/2023/12/17/business/stocks-week-ahead-office-buildings-shopping-malls/index.html
